date,close,change%
2020-12-22,3687.26001,-0.293
2020-12-21,3694.919922,0.289
2020-12-18,3709.409912,-0.349
2020-12-17,3722.47998,0.238
2020-12-16,3701.169922,0.133
2020-12-15,3694.620117,0.769
2020-12-14,3647.48999,-0.756
2020-12-11,3663.459961,0.202
2020-12-10,3668.100098,0.245
2020-12-09,3672.820068,-0.895
2020-12-08,3702.25,0.521
2020-12-07,3691.959961,-0.075
2020-12-04,3699.120117,0.768
2020-12-03,3666.719971,-0.043
2020-12-02,3669.01001,0.417
2020-12-01,3662.449951,0.455
2020-11-30,3621.629883,-0.345
2020-11-27,3638.350098,-0.005
2020-11-25,3629.649902,-0.161
2020-11-24,3635.409912,1.138
2020-11-23,3577.590088,0.302
2020-11-20,3557.540039,-0.608
2020-11-19,3581.870117,0.631
2020-11-18,3567.790039,-1.226
2020-11-17,3609.530029,-0.022
2020-11-16,3626.909912,0.743
2020-11-13,3585.149902,0.917
2020-11-12,3537.01001,-0.72
2020-11-11,3572.659912,0.265
2020-11-10,3545.530029,0.064
2020-11-09,3550.5,-0.908
2020-11-06,3509.439941,0.031
2020-11-05,3510.449951,0.709
2020-11-04,3443.439941,1.086
2020-11-03,3369.159912,0.986
2020-11-02,3310.23999,0.426
2020-10-30,3269.959961,-0.717
2020-10-29,3310.110107,1.005
2020-10-28,3271.030029,-2.138
2020-10-27,3390.679932,-0.366
2020-10-26,3400.969971,-1.175
2020-10-23,3465.389893,0.014
2020-10-22,3453.48999,0.436
2020-10-21,3435.560059,-0.126
2020-10-20,3443.120117,0.109
2020-10-19,3426.919922,-1.91
2020-10-16,3483.810059,-0.277
2020-10-15,3483.340088,0.858
2020-10-14,3488.669922,-0.762
2020-10-13,3511.929932,-0.625
2020-10-12,3534.219971,0.977
2020-10-09,3477.139893,0.505
2020-10-08,3446.830078,0.365
2020-10-07,3419.439941,1.031
2020-10-06,3360.969971,-1.401
2020-10-05,3408.600098,1.227
2020-10-02,3348.419922,0.284
2020-10-01,3380.800049,-0.15
2020-09-30,3363.0,0.652
2020-09-29,3335.469971,-0.461
2020-09-28,3351.600098,0.531
2020-09-25,3298.459961,1.909
2020-09-24,3246.590088,0.634
2020-09-23,3236.919922,-2.506
2020-09-22,3315.570068,0.601
2020-09-21,3281.060059,-0.137
2020-09-18,3319.469971,-1.129
2020-09-17,3357.01001,0.303
2020-09-16,3385.48999,-0.755
2020-09-15,3401.199951,-0.192
2020-09-14,3383.540039,0.594
2020-09-11,3340.969971,-0.35
2020-09-10,3339.189941,-2.15
2020-09-09,3398.959961,0.865
2020-09-08,3331.840088,-1.187
2020-09-04,3426.959961,-0.771
2020-09-03,3455.060059,-3.077
