date,BTC,LTC,XRP,ETH,BCN,sp500_close,change%,silver_close,silver_rate%,gold_close,gold_rate%
2020-07-30,11111.21387,56.643112,0.244522,334.586639,0.000236,3246.219971,0.447,23.362,-0.03526594,1966.8,-0.009617806
2020-07-29,11100.46777,55.172005,0.243099,318.190887,0.000225,3258.439941,0.967,24.321,0.041049568,1976.7,0.005033557
2020-07-28,10912.82324,55.575207,0.230277,316.657257,0.000234,3218.439941,-0.489,24.3,-0.000863451,1963.9,-0.006475439
2020-07-27,10990.87305,52.950027,0.223672,321.514099,0.000247,3239.409912,0.608,24.501,0.008271605,1955.4,-0.004328123
2020-07-24,9536.892578,44.182541,0.204049,279.215424,0.000224,3215.629883,-0.092,22.85,-0.067385005,1897.5,-0.02961031
2020-07-23,9581.072266,44.850079,0.207578,274.689056,0.000222,3235.659912,-1.1,22.988,0.006039387,1890,-0.003952569
2020-07-22,9525.363281,44.936115,0.203342,262.190643,0.000217,3276.02002,0.65,23.144,0.006786149,1865.1,-0.013174603
2020-07-21,9374.887695,43.61615,0.198988,245.016724,0.000215,3257.300049,-0.343,21.557,-0.068570688,1843.9,-0.011366683
2020-07-20,9164.231445,41.975811,0.195065,236.153168,0.000222,3251.840088,0.854,20.192,-0.063320499,1817.4,-0.014371712
2020-07-17,9151.392578,41.912815,0.194281,232.773087,0.000213,3224.72998,0.016,19.764,-0.021196513,1810,-0.004071751
2020-07-16,9132.227539,42.035439,0.194048,233.640884,0.000221,3215.570068,0.225,19.573,-0.009664036,1800.3,-0.005359116
2020-07-15,9192.836914,43.278957,0.197111,238.423523,0.00022,3226.560059,0.018,19.761,0.009605068,1813.8,0.00749875
2020-07-14,9243.213867,43.802864,0.198809,240.211487,0.000231,3197.52002,1.796,19.53,-0.011689692,1813.4,-0.000220531
2020-07-13,9243.614258,43.919796,0.198575,239.604584,0.000224,3155.219971,-1.556,19.788,0.013210445,1814.1,0.000386015
2020-07-10,9278.807617,44.246117,0.198652,240.984985,0.000238,3185.040039,1.033,19.053,-0.037143723,1801.9,-0.006725098
2020-07-09,9277.967773,44.537457,0.20291,243.015961,0.000225,3152.050049,-0.759,18.962,-0.004776151,1803.8,0.001054443
2020-07-08,9428.333008,45.200745,0.204692,246.670013,0.000211,3169.939941,0.535,19.161,0.010494674,1820.6,0.009313671
